run,Num.nursery,Mimicry,Constraints,step
1,1,FALSE,off,0
2,1,FALSE,off,0
3,1,FALSE,off,0
4,1,FALSE,off,0
5,1,FALSE,off,0
6,1,FALSE,off,0
7,1,FALSE,off,0
8,1,FALSE,off,0
9,1,FALSE,off,0
10,1,FALSE,off,0
11,1,FALSE,random,0
12,1,FALSE,random,0
13,1,FALSE,random,0
14,1,FALSE,random,0
15,1,FALSE,random,0
16,1,FALSE,random,0
17,1,FALSE,random,0
18,1,FALSE,random,0
19,1,FALSE,random,0
20,1,FALSE,random,0
21,1,FALSE,by-block,0
22,1,FALSE,by-block,0
23,1,FALSE,by-block,0
24,1,FALSE,by-block,0
25,1,FALSE,by-block,0
26,1,FALSE,by-block,0
27,1,FALSE,by-block,0
28,1,FALSE,by-block,0
29,1,FALSE,by-block,0
30,1,FALSE,by-block,0
31,4,FALSE,off,0
32,4,FALSE,off,0
33,4,FALSE,off,0
34,4,FALSE,off,0
35,4,FALSE,off,0
36,4,FALSE,off,0
37,4,FALSE,off,0
38,4,FALSE,off,0
39,4,FALSE,off,0
40,4,FALSE,off,0
41,4,FALSE,random,0
42,4,FALSE,random,0
43,4,FALSE,random,0
44,4,FALSE,random,0
45,4,FALSE,random,0
46,4,FALSE,random,0
47,4,FALSE,random,0
48,4,FALSE,random,0
49,4,FALSE,random,0
50,4,FALSE,random,0
51,4,FALSE,by-block,0
52,4,FALSE,by-block,0
53,4,FALSE,by-block,0
54,4,FALSE,by-block,0
55,4,FALSE,by-block,0
56,4,FALSE,by-block,0
57,4,FALSE,by-block,0
58,4,FALSE,by-block,0
59,4,FALSE,by-block,0
60,4,FALSE,by-block,0